"lang"
{
	"Language"		"English"
		"DOTA_Tooltip_modifier_item_assault_2_positive_Description"	"Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%. Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_item_assault_2_positive_buildings"	"Assault Cuirass 2"
		"DOTA_Tooltip_modifier_item_assault_2_positive_buildings_Description"	"Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
		"DOTA_Tooltip_modifier_item_assault_2_negative_buildings_aura"	"Assault Cuirass 2"
		"DOTA_Tooltip_modifier_item_assault_2_negative_buildings_aura_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
		
		"DOTA_Tooltip_ability_item_assault_3"	"ASSAULT CUIRASS 3"
		"DOTA_Tooltip_ability_item_assault_3_Description"	"<h1>Passive: Assault Aura</h1> Increases the armor of allied buildings and units by %aura_positive_armor%, and their attack speed by %aura_attack_speed%. Decreases the armor of enemies by %aura_negative_armor%.<br><br>Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_assault_3_Lore"	"This terrifying armor, forged in the depths of the forges, is capable of strengthening and speeding up an entire army."
		"DOTA_Tooltip_ability_item_assault_3_bonus_attack_speed"	"+$attack"
		"DOTA_Tooltip_ability_item_assault_3_bonus_armor"	"+$armor"
		"DOTA_Tooltip_modifier_item_assault_3_negative_armor"	"Assault Cuirass 3"
		"DOTA_Tooltip_modifier_item_assault_3_negative_armor_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
		"DOTA_Tooltip_modifier_item_assault_3_positive"	"Assault Cuirass 3"
		"DOTA_Tooltip_modifier_item_assault_3_positive_Description"	"Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%. Attack speed increased by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%."
		"DOTA_Tooltip_modifier_item_assault_3_positive_buildings"	"Assault Cuirass 3"
		"DOTA_Tooltip_modifier_item_assault_3_positive_buildings_Description"	"Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
		"DOTA_Tooltip_modifier_item_assault_3_negative_buildings_aura"	"Assault Cuirass 3"
		"DOTA_Tooltip_modifier_item_assault_3_negative_buildings_aura_Description"	"Armor reduced by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
		
		"DOTA_Tooltip_ability_item_heart_2"	"HEART OF TARRASQUE 2"
		"DOTA_Tooltip_ability_item_heart_2_Lore"	"The preserved heart of an extinct monster that strengthens the owner's resilience."
		"DOTA_Tooltip_ability_item_heart_2_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_heart_2_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_heart_2_health_regen_pct"	"%+maximum health per second"
	
		"DOTA_Tooltip_ability_item_heart_3"	"HEART OF TARRASQUE 3"
		"DOTA_Tooltip_ability_item_heart_3_Lore"	"The preserved heart of an extinct monster that strengthens the owner's resilience."
		"DOTA_Tooltip_ability_item_heart_3_bonus_strength"	"+$str"
		"DOTA_Tooltip_ability_item_heart_3_bonus_health"	"+$health"
		"DOTA_Tooltip_ability_item_heart_3_health_regen_pct"	"%+maximum health per second"
		
		"DOTA_Tooltip_ability_item_blade_mail_2"	"BLADE MAIL 2"
		"DOTA_Tooltip_ability_item_blade_mail_2_Description"	"<h1>Active: Damage Return</h1>Increases damage reflection from all sources by %active_reflection_pct%%%. Lasts %duration% sec.\n\n<h1>Passive: Damage Return</h1>Returns %passive_reflection_constant% + %passive_reflection_pct%%% damage from each attack by creatures attacking you."
		"DOTA_Tooltip_ability_item_blade_mail_2_Lore"	"Sharp as a razor blade, the armor - the choice of selfless martyrs."
		"DOTA_Tooltip_ability_item_blade_mail_2_Note0"	"Damage is returned in the original amount, before it is reduced."
		"DOTA_Tooltip_ability_item_blade_mail_2_Note1"	"Does not reflect damage from other Blade Mail and similar abilities."
		"DOTA_Tooltip_ability_item_blade_mail_2_Note2"	"Returned damage has the same type as received."
		"DOTA_Tooltip_ability_item_blade_mail_2_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_blade_mail_2_bonus_armor"	"+$armor"
		
		"DOTA_Tooltip_modifier_item_blade_mail_2_reflect"	"Reflection of attacks from Blade Mail 2"
	
		"DOTA_Tooltip_modifier_item_blade_mail_2_reflect_Description"	"Returns damage to attacking creatures."
		"DOTA_Tooltip_ability_item_blade_mail_3"	"BLADE MAIL 3"
		"DOTA_Tooltip_ability_item_blade_mail_3_Description"	"<h1>Active: Damage Return</h1>Increases damage reflection from all sources by %active_reflection_pct%%%. Lasts %duration% sec.\n\n<h1>Passive: Damage Return</h1>Returns %passive_reflection_constant% + %passive_reflection_pct%%% damage from each attack by creatures attacking you."
		"DOTA_Tooltip_ability_item_blade_mail_3_Lore"	"Sharp as a razor blade, the armor - the choice of selfless martyrs."
		"DOTA_Tooltip_ability_item_blade_mail_3_Note0"	"Damage is returned in the original amount, before it is reduced."
		"DOTA_Tooltip_ability_item_blade_mail_3_Note1"	"Does not reflect damage from other Blade Mail and similar abilities."
		"DOTA_Tooltip_ability_item_blade_mail_3_Note2"	"Returned damage has the same type as received."
		"DOTA_Tooltip_ability_item_blade_mail_3_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_blade_mail_3_bonus_armor"	"+$armor"
		
		"DOTA_Tooltip_modifier_item_blade_mail_3_reflect"	"Reflection of attacks from Blade Mail 3"
		"DOTA_Tooltip_modifier_item_blade_mail_3_reflect_Description"	"Returns damage to attacking creatures."
		
		"DOTA_Tooltip_ability_item_shivas_guard_2"	"SHIVA'S GUARD 2"
		"DOTA_Tooltip_ability_item_shivas_guard_2_Description"	"<h1>Active: Arctic Blast</h1> Releases a freezing wave that deals %blast_damage% magic damage to enemies and reduces their movement speed by %blast_movement_speed%% for %blast_debuff_duration% seconds.<br><br>Radius: %blast_radius%<br><br><h1>Passive: Freezing Aura</h1> Reduces the attack speed of enemies by %aura_attack_speed% and their healing, health regeneration, and lifesteal by %hp_regen_degen_aura%.<br><br>Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_shivas_guard_2_Lore"	"They say that once this artifact belonged to a goddess, and it still retains its former power to this day."
		"DOTA_Tooltip_ability_item_shivas_guard_2_Note0"	"The wave spreads at a speed of %blast_speed% up to the maximum size of %blast_radius%."
		"DOTA_Tooltip_ability_item_shivas_guard_2_Note1"	"The frosty wave follows the owner."
		"DOTA_Tooltip_ability_item_shivas_guard_2_Note2"	"The effect of multiple Freezing Aura does not stack."
		"DOTA_Tooltip_ability_item_shivas_guard_2_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_shivas_guard_2_bonus_armor"	"+$armor"
		
		"DOTA_Tooltip_modifier_item_shivas_guard_2_aura"	"Freezing Aura 2"
		"DOTA_Tooltip_modifier_item_shivas_guard_2_aura_Description"	"Attack speed is reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, health regeneration is reduced by %dMODIFIER_PROPERTY_LIFESTEAL_AMPLIFY_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_item_shivas_guard_2_blast"	"Arctic Blast"
		"DOTA_Tooltip_modifier_item_shivas_guard_2_blast_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		
		"DOTA_Tooltip_ability_item_shivas_guard_3"	"SHIVA'S GUARD 3"
		"DOTA_Tooltip_ability_item_shivas_guard_3_Description"	"<h1>Active: Arctic Blast</h1> Releases a freezing wave that deals %blast_damage% magic damage to enemies and reduces their movement speed by %blast_movement_speed%% for %blast_debuff_duration% seconds.<br><br>Radius: %blast_radius%<br><br><h1>Passive: Freezing Aura</h1> Reduces the attack speed of enemies by %aura_attack_speed% and their healing, health regeneration, and lifesteal by %hp_regen_degen_aura%.<br><br>Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_shivas_guard_3_Lore"	"They say that once this artifact belonged to a goddess, and it still retains its former power to this day."
		"DOTA_Tooltip_ability_item_shivas_guard_3_Note0"	"The wave spreads at a speed of %blast_speed% up to the maximum size of %blast_radius%."
		"DOTA_Tooltip_ability_item_shivas_guard_3_Note1"	"The frosty wave follows the owner."
		"DOTA_Tooltip_ability_item_shivas_guard_3_Note2"	"The effect of multiple Freezing Aura does not stack."
		"DOTA_Tooltip_ability_item_shivas_guard_3_bonus_intellect"	"+$int"
		"DOTA_Tooltip_ability_item_shivas_guard_3_bonus_armor"	"+$armor"
		
		"DOTA_Tooltip_modifier_item_shivas_guard_3_aura"	"Freezing Aura 3"
		"DOTA_Tooltip_modifier_item_shivas_guard_3_aura_Description"	"Attack speed is reduced by %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%, health regeneration is reduced by %dMODIFIER_PROPERTY_LIFESTEAL_AMPLIFY_PERCENTAGE%%%."
		"DOTA_Tooltip_modifier_item_shivas_guard_3_blast"	"Arctic Blast"
		"DOTA_Tooltip_modifier_item_shivas_guard_3_blast_Description"	"Movement speed reduced by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		
		"DOTA_Tooltip_ability_item_pipe_2"	"PIPE OF INSIGHT 2"
		"DOTA_Tooltip_ability_item_pipe_2_Description"	"<h1>Active: Barrier</h1>Creates a barrier on the owner and surrounding allies that absorbs %barrier_block% magic damage. Lasts %barrier_duration% seconds.<br><br>Radius: %barrier_radius%\n\n<h1>Passive: Insight Aura</h1>Affects allies around. Increases their health regeneration by %aura_health_regen% and magic resistance by %magic_resistance_aura%%.<br><br>Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_pipe_2_Lore"	"Powerful artifact of mysterious origin. It creates barriers that protect against magical forces."
		"DOTA_Tooltip_ability_item_pipe_2_Note0"	"The effect of multiple Barriers does not stack."
		"DOTA_Tooltip_ability_item_pipe_2_Note1"	"Combines with other sources of magic resistance according to the law of diminishing utility."
		"DOTA_Tooltip_ability_item_pipe_2_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_ability_item_pipe_2_magic_resistance"	"%+$spell_resist"
		
		"DOTA_Tooltip_modifier_item_pipe_2_aura"	"Insight Aura 2"
		"DOTA_Tooltip_modifier_item_pipe_2_aura_Description"	"Restores %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% health per second. Magic resistance increased by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."
		"DOTA_Tooltip_modifier_item_pipe_2_barrier"	"Barrier"
		"DOTA_Tooltip_modifier_item_pipe_2_barrier_Description"	"Barrier that absorbs up to %dMODIFIER_PROPERTY_INCOMING_SPELL_DAMAGE_CONSTANT% magical damage."
	
		"DOTA_Tooltip_ability_item_pipe_3"	"PIPE OF INSIGHT 3"
		"DOTA_Tooltip_ability_item_pipe_3_Description"	"<h1>Active: Barrier</h1>Creates a barrier on the owner and surrounding allies that absorbs %barrier_block% magic damage. Lasts %barrier_duration% seconds.<br><br>Radius: %barrier_radius%\n\n<h1>Passive: Insight Aura</h1>Affects allies around. Increases their health regeneration by %aura_health_regen% and magic resistance by %magic_resistance_aura%%.<br><br>Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_pipe_3_Lore"	"Powerful artifact of mysterious origin. It creates barriers that protect against magical forces."
		"DOTA_Tooltip_ability_item_pipe_3_Note0"	"The effect of multiple Barriers does not stack."
		"DOTA_Tooltip_ability_item_pipe_3_Note1"	"Combines with other sources of magic resistance according to the law of diminishing utility."
		"DOTA_Tooltip_ability_item_pipe_3_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_ability_item_pipe_3_magic_resistance"	"%+$spell_resist"
		
		"DOTA_Tooltip_modifier_item_pipe_3_aura"	"Insight Aura 3"
		"DOTA_Tooltip_modifier_item_pipe_3_aura_Description"	"Restores %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT% health per second. Magic resistance increased by %dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%."
		"DOTA_Tooltip_modifier_item_pipe_3_barrier"	"Barrier"
		"DOTA_Tooltip_modifier_item_pipe_3_barrier_Description"	"Barrier that absorbs up to %dMODIFIER_PROPERTY_INCOMING_SPELL_DAMAGE_CONSTANT% magical damage."
		
		"DOTA_Tooltip_ability_item_phase_boots_2"	"PHASE BOOTS 2"
		"DOTA_Tooltip_ability_item_phase_boots_2_Description"	"<h1>Active: Phase</h1> Increases movement speed by %phase_movement_speed%%% for melee heroes and by %phase_movement_speed_range%%% for ranged heroes, and allows passing through units and turning faster. Lasts %phase_duration% sec.\nBonuses to movement speed from multiple pairs of boots do not stack."
		"DOTA_Tooltip_ability_item_phase_boots_2_Lore"	"Boots that allow the owner to travel between layers of reality."
		"DOTA_Tooltip_ability_item_phase_boots_2_bonus_damage_melee"	"+Damage (MELEE)"
		"DOTA_Tooltip_ability_item_phase_boots_2_bonus_damage_range"	"+Damage (RANGED COMBAT)"
		"DOTA_Tooltip_ability_item_phase_boots_2_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_phase_boots_2_bonus_armor"	"+$armor"
		
		"DOTA_Tooltip_modifier_item_phase_boots_2_active"	"Phase Boots 2"
		"DOTA_Tooltip_modifier_item_phase_boots_2_active_Description"	"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Passes through other creatures."
		
		"DOTA_Tooltip_ability_item_phase_boots_3"	"PHASE BOOTS 3"
		"DOTA_Tooltip_ability_item_phase_boots_3_Description"	"<h1>Active: Phase</h1> Increases movement speed by %phase_movement_speed%%% for melee heroes and by %phase_movement_speed_range%%% for ranged heroes, and allows passing through units and turning faster. Lasts %phase_duration% sec.\nBonuses to movement speed from multiple pairs of boots do not stack."
		"DOTA_Tooltip_ability_item_phase_boots_3_Lore"	"Boots that allow the owner to travel between layers of reality."
		"DOTA_Tooltip_ability_item_phase_boots_3_bonus_damage_melee"	"+Damage (MELEE)"
		"DOTA_Tooltip_ability_item_phase_boots_3_bonus_damage_range"	"+Damage (RANGED COMBAT)"
		"DOTA_Tooltip_ability_item_phase_boots_3_bonus_movement_speed"	"+$move_speed"
		"DOTA_Tooltip_ability_item_phase_boots_3_bonus_armor"	"+$armor"
		
		"DOTA_Tooltip_modifier_item_phase_boots_3_active"	"Phase Boots 3"
		"DOTA_Tooltip_modifier_item_phase_boots_3_active_Description"	"Movement speed increased by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. Passes through other creatures."
		
		"DOTA_Tooltip_ability_item_guardian_greaves_2"	"GUARDIAN GRIEVES 2"
		"DOTA_Tooltip_ability_item_guardian_greaves_2_Description"	"<h1>Active: Mend</h1>Restores %replenish_health% health and %replenish_mana% mana to all allies in the area, and removes most negative effects from the owner.<br><br>Radius: %replenish_radius%<br>Dispersion Type: <span class=\"GameplayValues GameplayVariable\">normal</span>\n\n<h1>Passive: Guardian Aura</h1>Increases health regeneration of allies by %aura_health_regen% and their armor by %aura_armor%. Ally heroes below %aura_bonus_threshold%%% health receive %aura_health_regen_bonus% health per second and increased armor by %aura_armor_bonus% from the aura.<br><br>Radius: %aura_radius%\nBonuses to movement speed from multiple pairs of boots do not stack."
		"DOTA_Tooltip_ability_item_guardian_greaves_2_bonus_movement"	"+$move_speed"
		"DOTA_Tooltip_ability_item_guardian_greaves_2_bonus_mana"	"+$mana"
		"DOTA_Tooltip_ability_item_guardian_greaves_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_guardian_greaves_2_Lore"	"One of the many sacred instruments created in honor of Omniscience."
		"DOTA_Tooltip_ability_item_guardian_greaves_2_Note0"	"Aura only amplifies on heroes."
		"DOTA_Tooltip_ability_item_guardian_greaves_2_Note1"	"Mend (and Restore of Mekansm item) affects the same creature no more than once during the spell's cooldown."
		
		"DOTA_Tooltip_modifier_item_guardian_greaves_2_aura"	"Guardian Aura 2"
		"DOTA_Tooltip_modifier_item_guardian_greaves_2_aura_Description"	"Health regeneration increased by %fMODIFIER_PROPERTY_HEALTH_REGEN_CONSTANT%. Armor increased by %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%."
		
		"DOTA_Tooltip_ability_item_silver_edge_2"	"SILVER EDGE 2"
		"DOTA_Tooltip_ability_item_silver_edge_2_Lore"	"Having overthrown the unjust ruler, this blade only unleashed a civil war."
		"DOTA_Tooltip_modifier_item_silver_edge_2_windwalk"	"Shadow Walk"
		"DOTA_Tooltip_modifier_item_silver_edge_2_windwalk_Description"	"The hero is invisible and can pass through other creatures. Movement is accelerated by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. An attack will remove invisibility, deal %dMODIFIER_PROPERTY_TOOLTIP% additional damage to the target, and disable its passive abilities."
		"DOTA_Tooltip_ability_item_silver_edge_2_Description"	"<h1>Active: Shadow Walk</h1>Makes the hero invisible for %windwalk_duration% sec. or until they attack or use an ability. The effect also increases movement speed by %windwalk_movement_speed%%% and allows passing through units. <br><br>An attack that breaks invisibility deals critical damage equal to %crit_multiplier%%% + %windwalk_bonus_damage%, and disables the victim's passive abilities for %backstab_duration% sec.\n\n<h1>Passive: Critical Strike</h1>Each attack has a %crit_chance%%% chance to deal %crit_multiplier%%% damage."
		"DOTA_Tooltip_ability_item_silver_edge_2_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_silver_edge_2_bonus_attack_speed"	"+$attack"
		
		"DOTA_Tooltip_modifier_silver_edge_2_debuff"	"Attack Shadow Walk"
		"DOTA_Tooltip_modifier_silver_edge_2_debuff_Description"	"Passive abilities are disabled."
		
		"DOTA_Tooltip_ability_item_silver_edge_3"	"SILVER EDGE 3"
		"DOTA_Tooltip_ability_item_silver_edge_3_Lore"	"Having overthrown the unjust ruler, this blade only unleashed a civil war."
		"DOTA_Tooltip_modifier_item_silver_edge_3_windwalk"	"Shadow Walk"
		"DOTA_Tooltip_modifier_item_silver_edge_3_windwalk_Description"	"The hero is invisible and can pass through other creatures. Movement is accelerated by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%. An attack will remove invisibility, deal %dMODIFIER_PROPERTY_TOOLTIP% additional damage to the target, and disable its passive abilities."
		"DOTA_Tooltip_ability_item_silver_edge_3_Description"	"<h1>Active: Shadow Walk</h1>Makes the hero invisible for %windwalk_duration% sec. or until they attack or use an ability. The effect also increases movement speed by %windwalk_movement_speed%%% and allows passing through units. <br><br>An attack that breaks invisibility deals critical damage equal to %crit_multiplier%%% + %windwalk_bonus_damage%, and disables the victim's passive abilities for %backstab_duration% sec.\n\n<h1>Passive: Critical Strike</h1>Each attack has a %crit_chance%%% chance to deal %crit_multiplier%%% damage."
		"DOTA_Tooltip_ability_item_silver_edge_3_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_silver_edge_3_bonus_attack_speed"	"+$attack"
		
		"DOTA_Tooltip_modifier_silver_edge_3_debuff"	"Attack Shadow Walk"
		"DOTA_Tooltip_modifier_silver_edge_3_debuff_Description"	"Passive abilities are disabled."
		
		"DOTA_Tooltip_ability_item_radiance_2"	"RADIANCE 2"
		"DOTA_Tooltip_ability_item_radiance_2_Description"	"<h1>Toggle: Burn</h1> If enabled, deals %aura_damage% magic damage to enemies every second + %aura_damage_stats%%% damage from stats and blinds them, causing them to miss in %blind_pct%%% of cases. Deals %aura_damage_illusions% magic damage per second to illusions.<br><br>Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_radiance_2_Lore"	"Divine sword, surrounding its owner with a bright glow that turns all enemies around into ashes."
		"DOTA_Tooltip_ability_item_radiance_2_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_radiance_2_evasion"	"%+$evasion"
		
		"DOTA_Tooltip_modifier_item_radiance_2_debuff"	"Burn Damage"
		"DOTA_Tooltip_modifier_item_radiance_2_debuff_Description"	"Receives 60 damage per second and misses in %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% of cases."
		
		"DOTA_Tooltip_ability_item_radiance_3"	"RADIANCE 3"
		"DOTA_Tooltip_ability_item_radiance_3_Description"	"<h1>Toggle: Burn</h1> If enabled, deals %aura_damage% magic damage to enemies every second + %aura_damage_stats%%% damage from stats and blinds them, causing them to miss in %blind_pct%%% of cases. Deals %aura_damage_illusions% magic damage per second to illusions.<br><br>Radius: %aura_radius%"
		"DOTA_Tooltip_ability_item_radiance_3_Lore"	"Divine sword, surrounding its owner with a bright glow that turns all enemies around into ashes."
		"DOTA_Tooltip_ability_item_radiance_3_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_radiance_3_evasion"	"%+$evasion"
		
		"DOTA_Tooltip_modifier_item_radiance_3_debuff"	"Burn Damage 3"
		"DOTA_Tooltip_modifier_item_radiance_3_debuff_Description"	"Receives 60 damage per second and misses in %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% of cases."
		
		"DOTA_Tooltip_ability_item_mjollnir_2"	"MJOLLNIR 2"
		"DOTA_Tooltip_ability_item_mjollnir_2_Description"	"<h1>Active: Static Charge</h1> Surrounds the selected creature with a charged shield for %static_duration% sec. The shield has a %static_chance%%% chance to deal %static_damage% magic damage to the attacking enemy and %static_strikes% others.<br><br>Range: %abilitycastrange%\n\n<h1>Passive: Chain Lightning</h1> Each attack has a %chain_chance%%% chance to create a chain lightning strike that jumps %chain_strikes% times between random enemies within a %chain_radius% radius, dealing %chain_damage% magic damage to each. Chain lightning strikes cannot be evaded."
		"DOTA_Tooltip_ability_item_mjollnir_2_Lore"	"Magical hammer of Thor, forged for him by dwarves named Brok and Eitri."
		"DOTA_Tooltip_ability_item_mjollnir_2_Note0"	"Does not trigger more often than once per second."
		"DOTA_Tooltip_ability_item_mjollnir_2_Note1"	"Lightning bolts from the Static Charge ability deal magical damage to targets within %static_seconary_radius% range around the creature with the shield."
		"DOTA_Tooltip_ability_item_mjollnir_2_Note2"	"Static Charge lightning does not trigger on invisible or fogged heroes."
		"DOTA_Tooltip_ability_item_mjollnir_2_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_mjollnir_2_bonus_attack_speed"	"+$attack"
		
		"DOTA_Tooltip_modifier_item_mjollnir_2_static"	"Mjollnir Static Charge 2"
		"DOTA_Tooltip_modifier_item_mjollnir_2_static_Description"	"When this creature is attacked, there is a %dMODIFIER_PROPERTY_TOOLTIP%%% chance that the attacker and %dMODIFIER_PROPERTY_TOOLTIP% adjacent enemy will be struck by lightning."
		
		"DOTA_Tooltip_ability_item_mjollnir_3"	"MJOLLNIR 3"
		"DOTA_Tooltip_ability_item_mjollnir_3_Description"	"<h1>Active: Static Charge</h1> Surrounds the selected creature with a charged shield for %static_duration% sec. The shield has a %static_chance%%% chance to deal %static_damage% magic damage to the attacking enemy and %static_strikes% others.<br><br>Range: %abilitycastrange%\n\n<h1>Passive: Chain Lightning</h1> Each attack has a %chain_chance%%% chance to create a chain lightning strike that jumps %chain_strikes% times between random enemies within a %chain_radius% radius, dealing %chain_damage% magic damage to each. Chain lightning strikes cannot be evaded."
		"DOTA_Tooltip_ability_item_mjollnir_3_Lore"	"Magical hammer of Thor, forged for him by dwarves named Brok and Eitri."
		"DOTA_Tooltip_ability_item_mjollnir_3_Note0"	"Does not trigger more often than once per second."
		"DOTA_Tooltip_ability_item_mjollnir_3_Note1"	"Lightning bolts from the Static Charge ability deal magical damage to targets within %static_seconary_radius% range around the creature with the shield."
		"DOTA_Tooltip_ability_item_mjollnir_3_Note2"	"Static Charge lightning does not trigger on invisible or fogged heroes."
		"DOTA_Tooltip_ability_item_mjollnir_3_bonus_damage"	"+$damage"
		"DOTA_Tooltip_ability_item_mjollnir_3_bonus_attack_speed"	"+$attack"
		
		"DOTA_Tooltip_modifier_item_mjollnir_3_static"	"Mjollnir Static Charge 2"
		"DOTA_Tooltip_modifier_item_mjollnir_3_static_Description"	"When this creature is attacked, there is a %dMODIFIER_PROPERTY_TOOLTIP%%% chance that the attacker and %dMODIFIER_PROPERTY_TOOLTIP% adjacent enemy will be struck by lightning."
		
		"DOTA_Tooltip_ability_item_advanced_midas"	"HAND OF MIDAS 2"
		"DOTA_Tooltip_ability_item_advanced_midas_Description"	"<h1>Active: Transmute</h1> Kills the selected target (but not a hero), giving %bonus_gold% gold and %xp_multiplier% times more experience. When used on a neutral creep, guarantees the acquisition of a neutral item if not all of them have been obtained.<br><br>Does not work on ancient creeps.<br><br>Cast Range: %abilitycastrange%"
		"DOTA_Tooltip_ability_item_advanced_midas_Lore"	"This glove, preserved by unknown magic, serves the greed of its owner, filling his pockets with gold in exchange for the lives of animals."
		"DOTA_Tooltip_ability_item_advanced_midas_Note0"	"The obtained gold goes into a secure reserve (however, the standard reward for killing a creep is not given)."
		"DOTA_Tooltip_ability_item_advanced_midas_Note1"	"Experience from a killed creep is not shared with other heroes."
		"DOTA_Tooltip_ability_item_advanced_midas_bonus_attack_speed"	"+$attack"
		
		"DOTA_Tooltip_Ability_item_phylactery_2"	"PHYLACTERY 2"
		"DOTA_Tooltip_Ability_item_phylactery_2_Description"	"<h1>Passive: Empower Spell</h1> The next ability directed at an enemy will deal an additional %bonus_spell_damage% damage to them and slow them by %slow%%. Duration: %slow_duration% sec."
		"DOTA_Tooltip_Ability_item_phylactery_2_bonus_health"	"+$health"
		"DOTA_Tooltip_Ability_item_phylactery_2_bonus_mana"	"+$mana"
		"DOTA_Tooltip_ability_item_phylactery_2_bonus_all_stats"	"+$all"
		"DOTA_Tooltip_ability_item_phylactery_2_bonus_mana_regen"	"+$mana_regen"
		
		"DOTA_Tooltip_modifier_item_phylactery_2_slow"	"Phylactery 2"
		"DOTA_Tooltip_modifier_item_phylactery_2_slow_Description"	"Movement is slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
	
		"DOTA_Tooltip_Ability_item_manaflare_lens_custom"	"Manaflare Lens"
		"DOTA_Tooltip_Ability_item_manaflare_lens_custom_Description"	"<h1>Passive: Empower Spell</h1>The next ability targeted at an enemy or dealing damage will deal additional damage equal to %bonus_spell_damage% + <b><font color='#53ea48'>%bonus_spell_damage_mana%%% of your current mana</font></b> and be slowed by %slow%%%<br><br>Duration: %slow_duration% sec."
		"DOTA_Tooltip_Ability_item_manaflare_lens_custom_bonus_health"	"+$health"
		"DOTA_Tooltip_Ability_item_manaflare_lens_custom_bonus_mana"	"+$mana"
		"DOTA_Tooltip_Ability_item_manaflare_lens_custom_mana_regen"	"+$mana_regen"
		"DOTA_Tooltip_ability_item_manaflare_lens_custom_bonus_all_stats"	"+$all"
		"DOTA_Tooltip_ability_item_manaflare_lens_custom_cast_range_bonus"	"+$cast_range"
		
		"DOTA_Tooltip_modifier_item_manaflare_lens_custom_debuff"	"Manaflare Lens"
		"DOTA_Tooltip_modifier_item_manaflare_lens_custom_debuff_Description"	"Movement is slowed by %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%"
		
		"DOTA_Tooltip_ability_item_lotus_orb_2"	"LOTUS ORB 2"
		"DOTA_Tooltip_ability_item_lotus_orb_2_Description"	"<h1>Active: Echo Shell</h1> Creates a shield around the target that reflects most targeted spells back at the enemy. Lasts %active_duration% sec.<br><br>Does not block enemy spell effects. <br><br>Cast Range: %abilitycastrange%<br>Dispersion Type: <span class=\"GameplayValues GameplayVariable\">normal</span>"
		"DOTA_Tooltip_ability_item_lotus_orb_2_bonus_armor"	"+$armor"
		"DOTA_Tooltip_ability_item_lotus_orb_2_bonus_health_regen"	"+$hp_regen"
		"DOTA_Tooltip_ability_item_lotus_orb_2_bonus_mana_regen"	"+$mana_regen"
